facility_index,facility_name,facility_state,is_federal,bill_name,bill_street_1,bill_street_2,bill_city_state_zip,bill_zip_code,ship_name,ship_street_1,ship_street_2,ship_city_state_zip,ship_zip_code,website
1,Bibb Correctional Facility,AL,0,Bibb Correctional Facility,565 Bibb Lane,,"Brent, AL 35034",35034,Bibb Correctional Facility,565 Bibb Lane,,"Brent, AL 35034",35034,https://www.prisonpro.com/content/bibb-correctional-facility
2,Bullock Correctional Facility,AL,0,Bullock Correctional Facility,P.O. Box 5107,,"Union Springs, AL 36089-5107",36089,Bullock Correctional Facility,P.O. Box 5107,,"Union Springs, AL 36089-5107",36089,https://www.prisonpro.com/content/bullock-correctional-facility
3,Donaldson Correctional Facility,AL,0,Donaldson Correctional Facility,100 Warrior Lane,,"Bessemer, AL 35023-7299",35023,Donaldson Correctional Facility,100 Warrior Lane,,"Bessemer, AL 35023-7299",35023,https://www.prisonpro.com/content/donaldson-correctional-facility
4,Draper Correctional Facility,AL,0,Draper Correctional Facility,P.O. Box 1107,,"Elmore, AL 36025",36025,Draper Correctional Facility,P.O. Box 1107,,"Elmore, AL 36025",36025,https://www.prisonpro.com/content/draper-correctional-facility
5,Easterling Correctional Facility,AL,0,Easterling Correctional Facility,200 Wallace Drive,,"Clio, AL 36017-2615",36017,Easterling Correctional Facility,200 Wallace Drive,,"Clio, AL 36017-2615",36017,https://www.prisonpro.com/content/easterling-correctional-institution
6,Elmore Correctional Center,AL,0,Elmore Correctional Center,3520 Marion Spillway Road,,"Elmore, AL 36025",36025,Elmore Correctional Center,3520 Marion Spillway Road,,"Elmore, AL 36025",36025,https://www.prisonpro.com/content/elmore-correctional-center
7,Fountain Correctional Facility,AL,0,Fountain Correctional Facility,Fountain 3800,,"Atmore, AL 36503-3800",36503,Fountain Correctional Facility,Fountain 3800,,"Atmore, AL 36503-3800",36503,https://www.prisonpro.com/content/fountain-correctional-facility-jo-davis
8,Hamilton Aged & Infirmed,AL,0,Hamilton Aged & Infirmed,223 Sasser Drive,,"Hamilton, AL 35570",35570,Hamilton Aged & Infirmed,223 Sasser Drive,,"Hamilton, AL 35570",35570,https://www.prisonpro.com/content/hamilton-aged-infirmed
9,Holman Correctional Facility,AL,0,Holman Correctional Facility,Holman 3700,,"Atmore, AL 36503-3700",36503,Holman Correctional Facility,Holman 3700,,"Atmore, AL 36503-3700",36503,https://www.prisonpro.com/content/holman-correctional-facility
10,Kilby Correctional Facility,AL,0,Kilby Correctional Facility,P.O. Box 150,,"Mt. Meigs, AL 36057",36057,Kilby Correctional Facility,P.O. Box 150,,"Mt. Meigs, AL 36057",36057,https://www.prisonpro.com/content/kilby-correctional-facility
11,Limestone Correctional Facility,AL,0,Limestone Correctional Facility,28779 Nick Davis Rd,,"Harvest, AL 35749",35749,Limestone Correctional Facility,28779 Nick Davis Rd,,"Harvest, AL 35749",35749,https://www.prisonpro.com/content/limestone-correctional-facility
12,Montgomery Women's Facility,AL,0,Montgomery Women's Facility,P.O. Box 75,,"Mt. Meigs, AL 36057",36057,Montgomery Women's Facility,P.O. Box 75,,"Mt. Meigs, AL 36057",36057,https://www.prisonpro.com/content/montgomery-womens-facility
13,Red Eagle Work Center,AL,0,Red Eagle Work Center,1290 Red Eagle Road,,"Montgomery, AL 36110",36110,Red Eagle Work Center,1290 Red Eagle Road,,"Montgomery, AL 36110",36110,https://www.prisonpro.com/content/red-eagle-honor-farm-work-center
14,St. Clair Correctional Facility,AL,0,St. Clair Correctional Facility,1000 St. Clair Road,,"Springville, AL 35146",35146,St. Clair Correctional Facility,1000 St. Clair Road,,"Springville, AL 35146",35146,https://www.prisonpro.com/content/st-clair-correctional-center
15,Staton Correctional Facility,AL,0,Staton Correctional Facility,P.O. Box 56,,"Elmore, AL 36025",36025,Staton Correctional Facility,P.O. Box 56,,"Elmore, AL 36025",36025,https://www.prisonpro.com/content/staton-correctional-facility
16,Tutwiler Prison for Women,AL,0,Tutwiler Prison for Women,8966 US Hwy 231 N,,"Wetumpka, AL 36092",36092,Tutwiler Prison for Women,8966 US Hwy 231 N,,"Wetumpka, AL 36092",36092,https://www.prisonpro.com/content/tutwiler-prison-women
17,Ventress Correctional Facility,AL,0,Ventress Correctional Facility,P.O. Box 767,,"Clayton, AL 36016-0767",36016,Ventress Correctional Facility,P.O. Box 767,,"Clayton, AL 36016-0767",36016,https://www.prisonpro.com/content/ventress-correctional-facility
18,Anchorage Correctional Complex East,AK,0,Anchorage Correctional Complex,1400 East 4th Avenue,,"Anchorage, AK 99501",99501,Anchorage Correctional Complex,1400 East 4th Avenue,,"Anchorage, AK 99501",99501,https://www.prisonpro.com/content/anchorage-correctional-complex
19,Anchorage Correctional Complex West,AK,0,Anchorage Correctional Complex,1300 East 4th Avenue,,"Anchorage, AK 99501",99501,Anchorage Correctional Complex,1300 East 4th Avenue,,"Anchorage, AK 99501",99501,https://www.prisonpro.com/content/anchorage-correctional-complex
20,Anvil Mountain Correctional Center,AK,0,Anvil Mountain Correctional Center,PO Box 730,,"Nome, AK 99762",99762,Anvil Mountain Correctional Center,PO Box 730,,"Nome, AK 99762",99762,https://www.prisonpro.com/content/anvil-mountain-correctional-center
21,Fairbanks Correctional Center,AK,0,Fairbanks Correctional Center,1931 Egan Avenue,,"Fairbanks, AK 99701",99701,Fairbanks Correctional Center,1931 Egan Avenue,,"Fairbanks, AK 99701",99701,https://www.prisonpro.com/content/fairbanks-correctional-center
22,Goose Creek Correctional Center,AK,0,Goose Creek Correctional Center,P.O. Box 877790,,"Wasilla, AK 99687",99687,Goose Creek Correctional Center,P.O. Box 877790,,"Wasilla, AK 99687",99687,https://www.prisonpro.com/content/goose-creek-correctional-center
23,Hiland Mountain Correctional Center,AK,0,Hiland Mountain Correctional Center,9101 Hesterberg Road,,"Eagle River, AK 99577",99577,Hiland Mountain Correctional Center,9101 Hesterberg Road,,"Eagle River, AK 99577",99577,https://www.prisonpro.com/content/hiland-mountain-correctional-center
24,Ketchikan Correctional Center,AK,0,Ketchikan Correctional Center,1201 Schoenbar Rd,,"Ketchikan, AK 99901-6270",99901,Ketchikan Correctional Center,1201 Schoenbar Rd,,"Ketchikan, AK 99901-6270",99901,https://www.prisonpro.com/content/ketchikan-correctional-center
25,Lemon Creek Correctional Center,AK,0,Lemon Creek Correctional Center,2000 Lemon Creek Road,,"Juneau, AK 99801",99801,Lemon Creek Correctional Center,2000 Lemon Creek Road,,"Juneau, AK 99801",99801,https://www.prisonpro.com/content/lemon-creek-correctional-center
26,Mat-Su Pretrial,AK,0,Mat-Su Pretrial,339 East Dogwood Road,,"Palmer, AK 99645",99645,Mat-Su Pretrial,339 East Dogwood Road,,"Palmer, AK 99645",99645,https://www.prisonpro.com/content/mat-su-pretrial-facility
27,Palmer Correctional Center,AK,0,Palmer Correctional Center,P.O. Box 919,,"Palmer, AK 99645",99645,Palmer Correctional Center,P.O. Box 919,,"Palmer, AK 99645",99645,https://www.prisonpro.com/content/palmer-correctional-center
28,Point Mackenzie Correctional Farm,AK,0,Point Mackenzie Correctional Farm,P.O. Box 877730,,"Wasilla, AK 99687",99687,Point Mackenzie Correctional Farm,P.O. Box 877730,,"Wasilla, AK 99687",99687,https://www.prisonpro.com/content/point-mackenzie-correctional-farm
29,Spring Creek Correctional Center,AK,0,Spring Creek Correctional Center,3600 Bette Cato Avenue,,"Seward, AK 99664",99664,Spring Creek Correctional Center,3600 Bette Cato Avenue,,"Seward, AK 99664",99664,https://www.prisonpro.com/content/spring-creek-correctional-center
30,Wildwood Correctional Center,AK,0,Wildwood Correctional Center,10 Chugach Avenue,,"Kenai, AK 99611",99611,Wildwood Correctional Center,10 Chugach Avenue,,"Kenai, AK 99611",99611,https://www.prisonpro.com/content/wildwood-correctional-complex
31,Wildwood Pre-Trial Facility,AK,0,Wildwood Pre-Trial Facility,5 Chugach Avenue,,"Kenai, AK 99611",99611,Wildwood Pre-Trial Facility,5 Chugach Avenue,,"Kenai, AK 99611",99611,https://www.prisonpro.com/content/wildwood-correctional-complex
32,Wildwood Transitional Program,AK,0,Wildwood Transitional Program,11 Chugach Avenue,,"Kenai, AK 99611",99611,Wildwood Transitional Program,11 Chugach Avenue,,"Kenai, AK 99611",99611,https://www.prisonpro.com/content/wildwood-correctional-complex
33,Yukon Kuskokwim Correctional Center,AK,0,Yukon Kuskokwim Correctional Center,PO Box 400,,"Bethel, AK 99559",99559,Yukon Kuskokwim Correctional Center,PO Box 400,,"Bethel, AK 99559",99559,https://www.prisonpro.com/content/yukon-kuskokwim-correctional-center
34,ASPC - Douglas,AZ,0,ASPC - Douglas,P.O. Box 3867,,"Douglas, AZ 85608-3867",85608,ASPC - Douglas,P.O. Box 3867,,"Douglas, AZ 85608-3867",85608,https://www.prisonpro.com/content/douglas-arizona-state-prison-complex
35,ASPC Douglas - Maricopa Unit,AZ,0,ASPC Douglas - Maricopa Unit,P.O. Box 5000,,"Douglas, AZ 85608",85608,ASPC Douglas - Maricopa Unit,P.O. Box 5000,,"Douglas, AZ 85608",85608,https://www.prisonpro.com/content/douglas-arizona-state-prison-complex
36,ASPC Douglas - Mohave Unit,AZ,0,ASPC Douglas - Mohave Unit,P.O. Box 5002,,"Douglas, AZ 85608",85608,ASPC Douglas - Mohave Unit,P.O. Box 5002,,"Douglas, AZ 85608",85608,https://www.prisonpro.com/content/douglas-arizona-state-prison-complex
37,ASPC Douglas - Complex Detention Unit,AZ,0,ASPC Douglas - Complex Detention Unit,P.O. Box 5006,,"Douglas, AZ 85608",85608,ASPC Douglas - Complex Detention Unit,P.O. Box 5006,,"Douglas, AZ 85608",85608,https://www.prisonpro.com/content/douglas-arizona-state-prison-complex
38,ASPC Douglas - Papago Unit,AZ,0,ASPC Douglas - Papago Unit,P.O. Box 5005,,"Douglas, AZ 85608",85608,ASPC Douglas - Papago Unit,P.O. Box 5005,,"Douglas, AZ 85608",85608,https://www.prisonpro.com/content/douglas-arizona-state-prison-complex
39,ASPC Douglas - Gila Unit,AZ,0,ASPC Douglas - Gila Unit,P.O. Box 5003,,"Douglas, AZ 85608",85608,ASPC Douglas - Gila Unit,P.O. Box 5003,,"Douglas, AZ 85608",85608,https://www.prisonpro.com/content/douglas-arizona-state-prison-complex
40,ASPC Douglas - Eggers Unit,AZ,0,ASPC Douglas - Eggers Unit,P.O. Box 5001,,"Douglas, AZ 85608",85608,ASPC Douglas - Eggers Unit,P.O. Box 5001,,"Douglas, AZ 85608",85608,https://www.prisonpro.com/content/douglas-arizona-state-prison-complex
41,ASPC Eyman - Browning Unit,AZ,0,ASPC Eyman - Browning Unit,P.O. Box 3400,,"Florence, AZ 85132",85132,ASPC Eyman - Browning Unit,P.O. Box 3400,,"Florence, AZ 85132",85132,https://www.prisonpro.com/content/eyman-arizona-prison-complex
42,ASPC Eyman - Cook Unit,AZ,0,ASPC Eyman - Cook Unit,P.O. Box 3200,,"Florence, AZ 85132",85132,ASPC Eyman - Cook Unit,P.O. Box 3200,,"Florence, AZ 85132",85132,https://www.prisonpro.com/content/eyman-arizona-prison-complex
43,ASPC Eyman - Meadows Unit,AZ,0,ASPC Eyman - Meadows Unit,P.O. Box 3300,,"Florence, AZ 85132",85132,ASPC Eyman - Meadows Unit,P.O. Box 3300,,"Florence, AZ 85132",85132,https://www.prisonpro.com/content/eyman-arizona-prison-complex
44,ASPC Eyman - Rynning Unit,AZ,0,ASPC Eyman - Rynning Unit,P.O. Box 3100,,"Florence, AZ 85132",85132,ASPC Eyman - Rynning Unit,P.O. Box 3100,,"Florence, AZ 85132",85132,https://www.prisonpro.com/content/eyman-arizona-prison-complex
45,ASPC Eyman - SMU I Unit,AZ,0,ASPC Eyman - SMU I Unit,P.O. Box 4000,,"Florence, AZ 85132",85132,ASPC Eyman - SMU I Unit,P.O. Box 4000,,"Florence, AZ 85132",85132,https://www.prisonpro.com/content/eyman-arizona-prison-complex
46,ASPC Florence Central Unit,AZ,0,Central Unit,P.O. Box 8200,,"Florence, AZ 85132",85132,Central Unit,P.O. Box 8200,,"Florence, AZ 85132",85132,https://www.prisonpro.com/content/florence-arizona-prison-complex
47,ASPC Florence Globe Unit,AZ,0,Globe Unit,P.O. Box 2799,,"Globe, AZ 85502",85502,Globe Unit,P.O. Box 2799,,"Globe, AZ 85502",85502,https://www.prisonpro.com/content/florence-arizona-prison-complex
48,ASPC Florence Kasson Unit,AZ,0,Kasson Unit,P.O. Box 8200,,"Florence, AZ 85132",85132,Kasson Unit,P.O. Box 8200,,"Florence, AZ 85132",85132,https://www.prisonpro.com/content/florence-arizona-prison-complex
49,ASPC Florence North Unit,AZ,0,North Unit,P.O. Box 7000,,"Florence, AZ 85132",85132,North Unit,P.O. Box 7000,,"Florence, AZ 85132",85132,https://www.prisonpro.com/content/florence-arizona-prison-complex
50,ASPC Florence South Unit,AZ,0,South Unit,P.O. Box 8400,,"Florence, AZ 85132",85132,South Unit,P.O. Box 8400,,"Florence, AZ 85132",85132,https://www.prisonpro.com/content/florence-arizona-prison-complex
51,ASPC Kingman Cerbat Unit,AZ,0,Cerbat Unit,PO Box 3009,,"Kingman, AZ 86402",86402,Cerbat Unit,PO Box 3009,,"Kingman, AZ 86402",86402,https://www.prisonpro.com/content/kingman-arizona-state-prison-complex
52,ASPC Kingman Hualapai Unit,AZ,0,Hualapai Unit,PO Box 6639,,"Kingman, AZ 86402",86402,Hualapai Unit,PO Box 6639,,"Kingman, AZ 86402",86402,https://www.prisonpro.com/content/kingman-arizona-state-prison-complex
53,ASPC Lewis - Bachman Unit,AZ,0,ASPC Lewis - Bachman Unit,P.O. Box 3500,,"Buckeye, AZ 85326",85326,ASPC Lewis - Bachman Unit,P.O. Box 3500,,"Buckeye, AZ 85326",85326,https://www.prisonpro.com/content/lewis-arizona-state-prison-complex
54,ASPC Lewis - Barchey Unit,AZ,0,ASPC Lewis - Barchey Unit,P.O. Box 3200,,"Buckeye, AZ 85326",85326,ASPC Lewis - Barchey Unit,P.O. Box 3200,,"Buckeye, AZ 85326",85326,https://www.prisonpro.com/content/lewis-arizona-state-prison-complex
55,ASPC Lewis - Buckley Unit,AZ,0,ASPC Lewis - Buckley Unit,P.O. Box 3400,,"Buckeye, AZ 85326",85326,ASPC Lewis - Buckley Unit,P.O. Box 3400,,"Buckeye, AZ 85326",85326,https://www.prisonpro.com/content/lewis-arizona-state-prison-complex
56,ASPC Lewis - Eagle Point Unit,AZ,0,ASPC Lewis - Eagle Point Unit,P.O. Box 3700,,"Buckeye, AZ 85326",85326,ASPC Lewis - Eagle Point Unit,P.O. Box 3700,,"Buckeye, AZ 85326",85326,https://www.prisonpro.com/content/lewis-arizona-state-prison-complex
57,ASPC Lewis - Morey Unit,AZ,0,ASPC Lewis - Morey Unit,P.O. Box 3300,,"Buckeye, AZ 85326",85326,ASPC Lewis - Morey Unit,P.O. Box 3300,,"Buckeye, AZ 85326",85326,https://www.prisonpro.com/content/lewis-arizona-state-prison-complex
58,ASPC Lewis - Rast Unit,AZ,0,ASPC Lewis - Rast Unit,P.O. Box 3600,,"Buckeye, AZ 85326",85326,ASPC Lewis - Rast Unit,P.O. Box 3600,,"Buckeye, AZ 85326",85326,https://www.prisonpro.com/content/lewis-arizona-state-prison-complex
59,ASPC Lewis - Stiner Unit,AZ,0,ASPC Lewis - Stiner Unit,P.O. Box 3100,,"Buckeye, AZ 85326",85326,ASPC Lewis - Stiner Unit,P.O. Box 3100,,"Buckeye, AZ 85326",85326,https://www.prisonpro.com/content/lewis-arizona-state-prison-complex
60,ASPC Lewis - Sunrise Unit,AZ,0,ASPC Lewis - Sunrise Unit,P.O. Box 3700,,"Buckeye, AZ 85326",85326,ASPC Lewis - Sunrise Unit,P.O. Box 3700,,"Buckeye, AZ 85326",85326,https://www.prisonpro.com/content/lewis-arizona-state-prison-complex
61,ASPC Perryville - Complex Detention,AZ,0,ASPC Perryville - Complex Detention,P.O. Box 3000,,"Goodyear, AZ 85395",85395,ASPC Perryville - Complex Detention,P.O. Box 3000,,"Goodyear, AZ 85395",85395,https://www.prisonpro.com/content/perryville-arizona-state-prison-complex
62,ASPC Perryville - Complex Minors,AZ,0,ASPC Perryville - Complex Minors,P.O. Box 3000,,"Goodyear, AZ 85395",85395,ASPC Perryville - Complex Minors,P.O. Box 3000,,"Goodyear, AZ 85395",85395,https://www.prisonpro.com/content/perryville-arizona-state-prison-complex
63,ASPC Perryville - Lumley Unit,AZ,0,ASPC Perryville - Lumley Unit,P.O. Box 3300,,"Goodyear, AZ 85395",85395,ASPC Perryville - Lumley Unit,P.O. Box 3300,,"Goodyear, AZ 85395",85395,https://www.prisonpro.com/content/perryville-arizona-state-prison-complex
64,ASPC Perryville - Piestewa Unit,AZ,0,ASPC Perryville - Piestewa Unit,P.O. Box 3600,,"Goodyear, AZ 85395",85395,ASPC Perryville - Piestewa Unit,P.O. Box 3600,,"Goodyear, AZ 85395",85395,https://www.prisonpro.com/content/perryville-arizona-state-prison-complex
65,ASPC Perryville - San Carlos Unit,AZ,0,ASPC Perryville - San Carlos Unit,P.O. Box 3700,,"Goodyear, AZ 85395",85395,ASPC Perryville - San Carlos Unit,P.O. Box 3700,,"Goodyear, AZ 85395",85395,https://www.prisonpro.com/content/perryville-arizona-state-prison-complex
66,ASPC Perryville - San Pedro Unit,AZ,0,ASPC Perryville - San Pedro Unit,P.O. Box 3100,,"Goodyear, AZ 85395",85395,ASPC Perryville - San Pedro Unit,P.O. Box 3100,,"Goodyear, AZ 85395",85395,https://www.prisonpro.com/content/perryville-arizona-state-prison-complex
67,ASPC Perryville - Santa Cruz Unit,AZ,0,ASPC Perryville - Santa Cruz Unit,P.O. Box 3200,,"Goodyear, AZ 85395",85395,ASPC Perryville - Santa Cruz Unit,P.O. Box 3200,,"Goodyear, AZ 85395",85395,https://www.prisonpro.com/content/perryville-arizona-state-prison-complex
68,ASPC Perryville - Santa Maria Unit,AZ,0,ASPC Perryville - Santa Maria Unit,P.O. Box 3400,,"Goodyear, AZ 85395",85395,ASPC Perryville - Santa Maria Unit,P.O. Box 3400,,"Goodyear, AZ 85395",85395,https://www.prisonpro.com/content/perryville-arizona-state-prison-complex
69,ASPC Perryville - Santa Rosa Unit,AZ,0,ASPC Perryville - Santa Rosa Unit,P.O. Box 3500,,"Goodyear, AZ 85395",85395,ASPC Perryville - Santa Rosa Unit,P.O. Box 3500,,"Goodyear, AZ 85395",85395,https://www.prisonpro.com/content/perryville-arizona-state-prison-complex
70,ASPC Perryville - Special Management,AZ,0,ASPC Perryville - Special Management,P.O. Box 3300,,"Goodyear, AZ 85395",85395,ASPC Perryville - Special Management,P.O. Box 3300,,"Goodyear, AZ 85395",85395,https://www.prisonpro.com/content/perryville-arizona-state-prison-complex
71,ASPC Phoenix - Alhambra Reception,AZ,0,ASPC Phoenix - Alhambra Reception,P.O. Box 52109,,"Phoenix, AZ 85072",85072,ASPC Phoenix - Alhambra Reception,P.O. Box 52109,,"Phoenix, AZ 85072",85072,https://www.prisonpro.com/content/phoenix-arizona-state-prison-complex
72,ASPC Phoenix - Aspen SPU,AZ,0,ASPC Phoenix - Aspen SPU,P.O. Box 52109,,"Phoenix, AZ 85072",85072,ASPC Phoenix - Aspen SPU,P.O. Box 52109,,"Phoenix, AZ 85072",85072,https://www.prisonpro.com/content/phoenix-arizona-state-prison-complex
73,ASPC Phoenix - B - Ward,AZ,0,ASPC Phoenix - B - Ward,P.O. Box 52109,,"Phoenix, AZ 85072",85072,ASPC Phoenix - B - Ward,P.O. Box 52109,,"Phoenix, AZ 85072",85072,https://www.prisonpro.com/content/phoenix-arizona-state-prison-complex
74,ASPC Phoenix - Flamenco Females,AZ,0,ASPC Phoenix - Flamenco Females,P.O. Box 52109,,"Phoenix, AZ 85072",85072,ASPC Phoenix - Flamenco Females,P.O. Box 52109,,"Phoenix, AZ 85072",85072,https://www.prisonpro.com/content/phoenix-arizona-state-prison-complex
75,ASPC Phoenix - Flamenco Males,AZ,0,ASPC Phoenix - Flamenco Males,P.O. Box 52109,,"Phoenix, AZ 85072",85072,ASPC Phoenix - Flamenco Males,P.O. Box 52109,,"Phoenix, AZ 85072",85072,https://www.prisonpro.com/content/phoenix-arizona-state-prison-complex
76,ASPC Phoenix - Inmate Worker,AZ,0,ASPC Phoenix - Inmate Worker,P.O. Box 52109,,"Phoenix, AZ 85072",85072,ASPC Phoenix - Inmate Worker,P.O. Box 52109,,"Phoenix, AZ 85072",85072,https://www.prisonpro.com/content/phoenix-arizona-state-prison-complex
77,ASPC Safford - Ft. Grant Unit,AZ,0,ASPC Safford - Ft. Grant Unit,896 S. Cook Road,,"Safford, AZ 85546",85546,ASPC Safford - Ft. Grant Unit,896 S. Cook Road,,"Safford, AZ 85546",85546,https://www.prisonpro.com/content/safford-arizona-state-prison-complex
78,ASPC Safford - Graham Unit,AZ,0,ASPC Safford - Graham Unit,896 S. Cook Road,,"Safford, AZ 85546",85546,ASPC Safford - Graham Unit,896 S. Cook Road,,"Safford, AZ 85546",85546,https://www.prisonpro.com/content/safford-arizona-state-prison-complex
79,ASPC Safford - Miles Detention Unit,AZ,0,ASPC Safford - Miles Detention Unit,896 S. Cook Road,,"Safford, AZ 85546",85546,ASPC Safford - Miles Detention Unit,896 S. Cook Road,,"Safford, AZ 85546",85546,https://www.prisonpro.com/content/safford-arizona-state-prison-complex
80,ASPC Safford - Tonto Unit,AZ,0,ASPC Safford - Tonto Unit,896 S. Cook Road,,"Safford, AZ 85546",85546,ASPC Safford - Tonto Unit,896 S. Cook Road,,"Safford, AZ 85546",85546,https://www.prisonpro.com/content/safford-arizona-state-prison-complex
81,"ASPC Tucson, Catalina Unit",AZ,0,"ASPC Tucson, Catalina Unit",P.O. Box 24409,,"Tucson, AZ 85734-4409",85734,"ASPC Tucson, Catalina Unit",P.O. Box 24409,,"Tucson, AZ 85734-4409",85734,https://www.prisonpro.com/content/tucson-arizona-state-prison-complex
82,"ASPC Tucson, Cimarron Unit",AZ,0,"ASPC Tucson, Cimarron Unit",P.O. Box 24408,,"Tucson, AZ 85734-4408",85734,"ASPC Tucson, Cimarron Unit",P.O. Box 24408,,"Tucson, AZ 85734-4408",85734,https://www.prisonpro.com/content/tucson-arizona-state-prison-complex
83,"ASPC Tucson, Complex Detention",AZ,0,"ASPC Tucson, Complex Detention",P.O. Box 24403,,"Tucson, AZ 85734-4403",85734,"ASPC Tucson, Complex Detention",P.O. Box 24403,,"Tucson, AZ 85734-4403",85734,https://www.prisonpro.com/content/tucson-arizona-state-prison-complex
84,"ASPC Tucson, Manzanita Unit",AZ,0,"ASPC Tucson, Manzanita Unit",P.O. Box 24401,,"Tucson, AZ 85734-4401",85734,"ASPC Tucson, Manzanita Unit",P.O. Box 24401,,"Tucson, AZ 85734-4401",85734,https://www.prisonpro.com/content/tucson-arizona-state-prison-complex
85,"ASPC Tucson, Rincon Unit",AZ,0,"ASPC Tucson, Rincon Unit",P.O. Box 24403,,"Tucson, AZ 85734-4403",85734,"ASPC Tucson, Rincon Unit",P.O. Box 24403,,"Tucson, AZ 85734-4403",85734,https://www.prisonpro.com/content/tucson-arizona-state-prison-complex
86,"ASPC Tucson, Rincon Minors Unit",AZ,0,"ASPC Tucson, Rincon Minors Unit",P.O. Box 24403,,"Tucson, AZ 85734-4403",85734,"ASPC Tucson, Rincon Minors Unit",P.O. Box 24403,,"Tucson, AZ 85734-4403",85734,https://www.prisonpro.com/content/tucson-arizona-state-prison-complex
87,"ASPC Tucson, Rincon Minors Detention Unit",AZ,0,"ASPC Tucson, Rincon Minors Detention Unit",P.O. Box 24403,,"Tucson, AZ 85734-4403",85734,"ASPC Tucson, Rincon Minors Detention Unit",P.O. Box 24403,,"Tucson, AZ 85734-4403",85734,https://www.prisonpro.com/content/tucson-arizona-state-prison-complex
88,"ASPC Tucson, Rincon Transitory Unit",AZ,0,"ASPC Tucson, Rincon Transitory Unit",P.O. Box 24403,,"Tucson, AZ 85734-440",85734,"ASPC Tucson, Rincon Transitory Unit",P.O. Box 24403,,"Tucson, AZ 85734-440",85734,https://www.prisonpro.com/content/tucson-arizona-state-prison-complex
89,"ASPC Tucson, SACRC Unit",AZ,0,"ASPC Tucson, SACRC Unit",P.O. Box 24400,,"Tucson, AZ 85734-4400",85734,"ASPC Tucson, SACRC Unit",P.O. Box 24400,,"Tucson, AZ 85734-4400",85734,https://www.prisonpro.com/content/tucson-arizona-state-prison-complex
90,"ASPC Tucson, Santa Rita Unit",AZ,0,"ASPC Tucson, Santa Rita Unit",P.O. Box 24401,,"Tucson, AZ 85734-4406",85734,"ASPC Tucson, Santa Rita Unit",P.O. Box 24401,,"Tucson, AZ 85734-4406",85734,https://www.prisonpro.com/content/tucson-arizona-state-prison-complex
91,ASPC Tucson - Whetstone Unit,AZ,0,ASPC Tucson - Whetstone Unit,P.O. Box 24402,,"Tucson, AZ 85734-4402",85734,ASPC Tucson - Whetstone Unit,P.O. Box 24402,,"Tucson, AZ 85734-4402",85734,https://www.prisonpro.com/content/tucson-arizona-state-prison-complex
92,ASPC Tucson - Winchester Unit,AZ,0,ASPC Tucson - Winchester Unit,P.O. Box 24407,,"Tucson, AZ 85734-4407",85734,ASPC Tucson - Winchester Unit,P.O. Box 24407,,"Tucson, AZ 85734-4407",85734,https://www.prisonpro.com/content/tucson-arizona-state-prison-complex
93,ASPC Winslow - Apache Unit,AZ,0,ASPC Winslow - Apache Unit,PO Box 3240,,"St. Johns, AZ 85936",85936,ASPC Winslow - Apache Unit,PO Box 3240,,"St. Johns, AZ 85936",85936,https://www.prisonpro.com/content/winslow-arizona-state-prison-complex
94,ASPC Winslow - Complex Lock-Up,AZ,0,ASPC Winslow - Complex Lock-Up,2100 S. Hwy 87,,"Winslow, AZ 86047",86047,ASPC Winslow - Complex Lock-Up,2100 S. Hwy 87,,"Winslow, AZ 86047",86047,https://www.prisonpro.com/content/winslow-arizona-state-prison-complex
95,ASPC Winslow - Coronado Unit,AZ,0,ASPC Winslow - Coronado Unit,2100 S. Hwy 87,,"Winslow, AZ 86047",86047,ASPC Winslow - Coronado Unit,2100 S. Hwy 87,,"Winslow, AZ 86047",86047,https://www.prisonpro.com/content/winslow-arizona-state-prison-complex
96,ASPC Winslow - Kaibab Unit,AZ,0,ASPC Winslow - Kaibab Unit,2100 S. Hwy 87,,"Winslow, AZ 86047",86047,ASPC Winslow - Kaibab Unit,2100 S. Hwy 87,,"Winslow, AZ 86047",86047,https://www.prisonpro.com/content/winslow-arizona-state-prison-complex
97,ASPC Yuma - Cheyenne Unit,AZ,0,ASPC Yuma - Cheyenne Unit,P.O. Box 8939,,"San Luis, AZ 85349",85349,ASPC Yuma - Cheyenne Unit,P.O. Box 8939,,"San Luis, AZ 85349",85349,https://www.prisonpro.com/content/yuma-arizona-state-prison-complex
98,ASPC Yuma - Cibola Unit,AZ,0,ASPC Yuma - Cibola Unit,P.O. Box 8820,,"San Luis, AZ 85349",85349,ASPC Yuma - Cibola Unit,P.O. Box 8820,,"San Luis, AZ 85349",85349,https://www.prisonpro.com/content/yuma-arizona-state-prison-complex
99,ASPC Yuma - Cocopah Unit,AZ,0,ASPC Yuma - Cocopah Unit,P.O. Box 8910,,"San Luis, AZ 85349",85349,ASPC Yuma - Cocopah Unit,P.O. Box 8910,,"San Luis, AZ 85349",85349,https://www.prisonpro.com/content/yuma-arizona-state-prison-complex
100,ASPC Yuma - Dakota Unit,AZ,0,ASPC Yuma - Dakota Unit,PO Box 8909,,"San Luis, AZ 85349",85349,ASPC Yuma - Dakota Unit,PO Box 8909,,"San Luis, AZ 85349",85349,https://www.prisonpro.com/content/yuma-arizona-state-prison-complex
