facility_index,facility_name,facility_state,is_federal,bill_name,bill_street_1,bill_street_2,bill_city_state_zip,bill_zip_code,ship_name,ship_street_1,ship_street_2,ship_city_state_zip,ship_zip_code,website
958,Travis County State Jail,TX,0,Travis County State Jail,8101 FM 969,,"Austin, TX 78724",78724,Travis County State Jail,8101 FM 969,,"Austin, TX 78724",78724,https://www.prisonpro.com/content/travis-county-state-jail
959,Tulia Transfer Facility,TX,0,Tulia Transfer Facility,4000 Highway 86 West,,"Tulia, TX 79088",79088,Tulia Transfer Facility,4000 Highway 86 West,,"Tulia, TX 79088",79088,https://www.prisonpro.com/content/tulia-transfer-facility
960,Vance Unit,TX,0,Vance Unit,2 Jester Road,,"Richmond, TX 77406",77406,Vance Unit,2 Jester Road,,"Richmond, TX 77406",77406,https://www.prisonpro.com/content/vance-unit
961,Wallace Unit,TX,0,Wallace Unit,1675 South FM 3525,,"Colorado City, TX 79512",79512,Wallace Unit,1675 South FM 3525,,"Colorado City, TX 79512",79512,https://www.prisonpro.com/content/wallace-unit
962,Ware Transfer Facility,TX,0,Ware Transfer Facility,1681 South FM 3525,,"Colorado City, TX 79512",79512,Ware Transfer Facility,1681 South FM 3525,,"Colorado City, TX 79512",79512,https://www.prisonpro.com/content/ware-transfer-facility
963,Wheeler State Jail,TX,0,Wheeler State Jail,986 County Road AA,,"Plainview, TX 79072",79072,Wheeler State Jail,986 County Road AA,,"Plainview, TX 79072",79072,https://www.prisonpro.com/content/wheeler-state-jail
964,Willacy County State Jail,TX,0,Willacy County State Jail,1695 South Buffalo Drive,,"Raymondville, TX 78580",78580,Willacy County State Jail,1695 South Buffalo Drive,,"Raymondville, TX 78580",78580,https://www.prisonpro.com/content/willacy-county-state-jail
965,Woodman State Jail,TX,0,Woodman State Jail,1210 Coryell City Road,,"Gatesville, TX 76528",76528,Woodman State Jail,1210 Coryell City Road,,"Gatesville, TX 76528",76528,https://www.prisonpro.com/content/woodman-state-jail
966,Young Medical Facility,TX,0,Young Medical Facility,5509 Attwater Ave.,,"Dickinson, TX 77539",77539,Young Medical Facility,5509 Attwater Ave.,,"Dickinson, TX 77539",77539,https://www.prisonpro.com/content/young-medical-facility
967,Utah State Prison,UT,0,Utah State Prison,P.O. Box 250,,"Draper, UT 84020",84020,Utah State Prison,P.O. Box 250,,"Draper, UT 84020",84020,https://www.prisonpro.com/content/draper-prisonutah-state-prison
968,CUCF,UT,0,CUCF,P.O. Box 550,,"Gunnison, UT 84634",84634,CUCF,P.O. Box 550,,"Gunnison, UT 84634",84634,https://www.prisonpro.com/content/gunnison-prison
969,Chittenden Regional Correctional Facility,VT,0,Chittenden Regional Correctional Facility,7 Farrell Street,,"South Burlington, VT 05403",5403,Chittenden Regional Correctional Facility,7 Farrell Street,,"South Burlington, VT 05403",5403,https://www.prisonpro.com/content/chittenden-regional-correctional-facility
970,Marble Valley Regional Correctional Facility,VT,0,Marble Valley Regional Correctional Facility,167 State Street,,"Rutland, VT 05701",5701,Marble Valley Regional Correctional Facility,167 State Street,,"Rutland, VT 05701",5701,https://www.prisonpro.com/content/marble-valley-regional-correctional-facility
971,Northern State Correctional Facility,VT,0,Northern State Correctional Facility,2559 Glen Road,,"Newport, VT 05855",5855,Northern State Correctional Facility,2559 Glen Road,,"Newport, VT 05855",5855,https://www.prisonpro.com/content/northern-state-correctional-facility
972,Northeast Correctional Complex,VT,0,Northeast Correctional Complex,1266-1270 US Route 5,,"St.Johnsbury, VT 05819",5819,Northeast Correctional Complex,1266-1270 US Route 5,,"St.Johnsbury, VT 05819",5819,https://www.prisonpro.com/content/northeast-correctional-complex-vermont
973,Northwest State Correctional Facility,VT,0,Northwest State Correctional Facility,3649 Lower Newton Road,,"Swanton, VT 05488",5488,Northwest State Correctional Facility,3649 Lower Newton Road,,"Swanton, VT 05488",5488,https://www.prisonpro.com/content/northwest-state-correctional-facility
974,Southeast State Correctional Facility,VT,0,Southeast State Correctional Facility,546 State Farm Road,,"Windsor, VT 05089",5089,Southeast State Correctional Facility,546 State Farm Road,,"Windsor, VT 05089",5089,https://www.prisonpro.com/content/southeast-state-correctional-facility
975,Southern State Correctional Facility,VT,0,Southern State Correctional Facility,700 Charlestown Road,,"Springfield, VT 05156",5156,Southern State Correctional Facility,700 Charlestown Road,,"Springfield, VT 05156",5156,https://www.prisonpro.com/content/southern-state-correctional-facility-springfield
976,Augusta Correctional Center,VA,0,Augusta Correctional Center,1821 Estaline Valley Road,,"Craigsville, VA 24430",24430,Augusta Correctional Center,1821 Estaline Valley Road,,"Craigsville, VA 24430",24430,https://www.prisonpro.com/content/augusta-correctional-center
977,Baskerville Correctional Center,VA,0,Baskerville Correctional Center,4150 Hayes Mill Road,,"Baskerville, VA 23915",23915,Baskerville Correctional Center,4150 Hayes Mill Road,,"Baskerville, VA 23915",23915,https://www.prisonpro.com/content/baskerville-correctional-center
978,Bland Correctional Center,VA,0,Bland Correctional Center,256 Bland Farm Road,,"Bland, VA 24315-9615",24315,Bland Correctional Center,256 Bland Farm Road,,"Bland, VA 24315-9615",24315,https://www.prisonpro.com/content/bland-correctional-center
979,Brunswick Work Center,VA,0,Brunswick Work Center,P.O. Box 207C,,"Lawrenceville, VA 23868",23868,Brunswick Work Center,P.O. Box 207C,,"Lawrenceville, VA 23868",23868,https://www.prisonpro.com/content/brunswick-work-center
980,Buckingham Correctional Center,VA,0,Buckingham Correctional Center,P.O. Box 430,,"Dillwyn, VA 23936",23936,Buckingham Correctional Center,P.O. Box 430,,"Dillwyn, VA 23936",23936,https://www.prisonpro.com/content/buckingham-correctional-center
981,Caroline Correctional Unit #2,VA,0,Caroline Correctional Unit #2,31285 Camp Road,,"Hanover, VA 23069",23069,Caroline Correctional Unit #2,31285 Camp Road,,"Hanover, VA 23069",23069,https://www.prisonpro.com/content/caroline-correctional-unit-2
982,Central Virginia Correctional Unit,VA,0,Central Virginia Correctional Unit,6900 Courthouse Road,,"Chesterfield, VA 23832",23832,Central Virginia Correctional Unit,6900 Courthouse Road,,"Chesterfield, VA 23832",23832,https://www.prisonpro.com/content/central-virginia-correctional-unit
983,Coffeewood Correctional Center,VA,0,Coffeewood Correctional Center,P. O. Box 500,,"Mitchells, VA 22729",22729,Coffeewood Correctional Center,P. O. Box 500,,"Mitchells, VA 22729",22729,https://www.prisonpro.com/content/coffeewood-correctional-center
984,Cold Springs Correctional Unit,VA,0,Cold Springs Correctional Unit,221 Spitler Circle,,"Greenville, VA 24440",24440,Cold Springs Correctional Unit,221 Spitler Circle,,"Greenville, VA 24440",24440,https://www.prisonpro.com/content/cold-springs-correctional-unit
985,Deep Meadow Correctional Center,VA,0,Deep Meadow Correctional Center,3500 Woods Way,,"State Farm, VA 23160",23160,Deep Meadow Correctional Center,3500 Woods Way,,"State Farm, VA 23160",23160,https://www.prisonpro.com/content/deep-meadow-correctional-center
986,Deerfield Correctional Center,VA,0,Deerfield Correctional Center,21360 Deerfield Drive,,"Capron, VA 23829",23829,Deerfield Correctional Center,21360 Deerfield Drive,,"Capron, VA 23829",23829,https://www.prisonpro.com/content/deerfield-correctional-center
987,Dillwyn Correctional Center,VA,0,Dillwyn Correctional Center,P.O. Box 670,,"Dillwyn, VA 23936",23936,Dillwyn Correctional Center,P.O. Box 670,,"Dillwyn, VA 23936",23936,https://www.prisonpro.com/content/dillwyn-correctional-center
988,Fluvanna Correctional Center for Women,VA,0,Fluvanna Correctional Center for Women,144 Prison Lane,,"Troy, VA 22974",22974,Fluvanna Correctional Center for Women,144 Prison Lane,,"Troy, VA 22974",22974,https://www.prisonpro.com/content/fluvanna-correctional-center-women
989,Green Rock Correctional Center,VA,0,Green Rock Correctional Center,475 Green Rock Lane,,"Chatham, VA 24531",24531,Green Rock Correctional Center,475 Green Rock Lane,,"Chatham, VA 24531",24531,https://www.prisonpro.com/content/green-rock-correctional-center
990,Greensville Correctional Center,VA,0,Greensville Correctional Center,901 Corrections Way,,"Jarratt, VA 23870-9614",23870,Greensville Correctional Center,901 Corrections Way,,"Jarratt, VA 23870-9614",23870,https://www.prisonpro.com/content/greensville-correctional-center
991,Halifax Correctional Unit,VA,0,Halifax Correctional Unit,Box 1789,,"Halifax, VA 24558",24558,Halifax Correctional Unit,Box 1789,,"Halifax, VA 24558",24558,https://www.prisonpro.com/content/halifax-correctional-unit
992,Haynesville Correctional Center,VA,0,Haynesville Correctional Center,P.O. Box 129,,"Haynesville, VA 22472",22472,Haynesville Correctional Center,P.O. Box 129,,"Haynesville, VA 22472",22472,https://www.prisonpro.com/content/haynesville-correctional-center
993,Haynesville Correctional Unit,VA,0,Haynesville Correctional Unit,P.O. Box 39,,"Haynesville, VA 22472",22472,Haynesville Correctional Unit,P.O. Box 39,,"Haynesville, VA 22472",22472,https://www.prisonpro.com/content/haynesville-correctional-unit
